client-api 2.5
audio-decoders 184
V mpeg4 | mpeg4 | MPEG-4 part 2
V mpeg4 | mpeg4_cuvid | Nvidia CUVID MPEG4 decoder
V msa1 | msa1 | MS ATC Screen
V mscc | mscc | Mandsoft Screen Capture Codec
V msmpeg4v1 | msmpeg4v1 | MPEG-4 part 2 Microsoft variant version 1
V msmpeg4v2 | msmpeg4v2 | MPEG-4 part 2 Microsoft variant version 2
V msmpeg4v3 | msmpeg4 | MPEG-4 part 2 Microsoft variant version 3
V msp2 | msp2 | Microsoft Paint (MSP) version 2
V msrle | msrle | Microsoft RLE
V mss1 | mss1 | MS Screen 1
V mss2 | mss2 | MS Windows Media Video V9 Screen
V msvideo1 | msvideo1 | Microsoft Video 1
V mszh | mszh | LCL (LossLess Codec Library) MSZH
V mts2 | mts2 | MS Expression Encoder Screen
V mv30 | mv30 | MidiVid 3.0
V mvc1 | mvc1 | Silicon Graphics Motion Video Compressor 1
V mvc2 | mvc2 | Silicon Graphics Motion Video Compressor 2
V mvdv | mvdv | MidiVid VQ
V mvha | mvha | MidiVid Archive Codec
V mwsc | mwsc | MatchWare Screen Capture Codec
V mxpeg | mxpeg | Mobotix MxPEG video
V notchlc | notchlc | NotchLC
V nuv | nuv | NuppelVideo/RTJPEG
V paf_video | paf_video | Amazing Studio Packed Animation File Video
V pam | pam | PAM (Portable AnyMap) image
V pbm | pbm | PBM (Portable BitMap) image
V pcx | pcx | PC Paintbrush PCX image
V pdv | pdv | PDV (PlayDate Video)
V pfm | pfm | PFM (Portable FloatMap) image
V pgm | pgm | PGM (Portable GrayMap) image
V pgmyuv | pgmyuv | PGMYUV (Portable GrayMap YUV) image
V pgx | pgx | PGX (JPEG2000 Test Format)
V phm | phm | PHM (Portable HalfFloatMap) image
V photocd | photocd | Kodak Photo CD
V pictor | pictor | Pictor/PC Paint
V pixlet | pixlet | Apple Pixlet
V png | png | PNG (Portable Network Graphics) image
V ppm | ppm | PPM (Portable PixelMap) image
V prores | prores | Apple ProRes (iCodec Pro)
V prores_raw | prores_raw | Apple ProRes RAW
V prosumer | prosumer | Brooktree ProSumer Video
V psd | psd | Photoshop PSD file
V ptx | ptx | V.Flash PTX image
V qdraw | qdraw | Apple QuickDraw
V qoa | qoa | QOA (Quite OK Audio)
V qoi | qoi | QOI (Quite OK Image format) image
V qpeg | qpeg | Q-team QPEG
V qtrle | qtrle | QuickTime Animation (RLE) video
V r10k | r10k | AJA Kona 10-bit RGB Codec
V r210 | r210 | Uncompressed RGB 10-bit
V rasc | rasc | RemotelyAnywhere Screen Capture
V rawvideo | rawvideo | raw video
V rl2 | rl2 | RL2 video
V roq | roqvideo | id RoQ video
V roq_dpcm | roq_dpcm | DPCM id RoQ
V rpza | rpza | QuickTime video (RPZA)
V rscc | rscc | innoHeim/Rsupport Screen Capture Codec
V rtv1 | rtv1 | RTV1 (RivaTuner Video)
V rv10 | rv10 | RealVideo 1.0
V rv20 | rv20 | RealVideo 2.0
V rv30 | rv30 | RealVideo 3.0
V rv40 | rv40 | RealVideo 4.0
V rv60 | rv60 | RealVideo 6.0
V sanm | sanm | LucasArts SANM/Smush video
V sbc | sbc | SBC (low-complexity subband codec)
V scpr | scpr | ScreenPressor
V screenpresso | screenpresso | Screenpresso
V sdx2_dpcm | sdx2_dpcm | DPCM Squareroot-Delta-Exact
V sgi | sgi | SGI image
V sgirle | sgirle | Silicon Graphics RLE 8-bit video
V sheervideo | sheervideo | BitJazz SheerVideo
V simbiosis_imx | simbiosis_imx | Simbiosis Interactive IMX Video
V siren | siren | Siren
V smackvideo | smackvid | Smacker video
V smc | smc | QuickTime Graphics (SMC)
V smvjpeg | smvjpeg | SMV JPEG
V snow | snow | Snow
V sol_dpcm | sol_dpcm | DPCM Sol
V sp5x | sp5x | Sunplus JPEG (SP5X)
V speedhq | speedhq | NewTek SpeedHQ
V srgc | srgc | Screen Recorder Gold Codec
V sunrast | sunrast | Sun Rasterfile image
V svq1 | svq1 | Sorenson Vector Quantizer 1 / Sorenson Video 1 / SVQ1
V svq3 | svq3 | Sorenson Vector Quantizer 3 / Sorenson Video 3 / SVQ3
V targa | targa | Truevision Targa image
V targa_y216 | targa_y216 | Pinnacle TARGA CineWave YUV16
V tdsc | tdsc | TDSC
V tgq | eatgq | Electronic Arts TGQ video
